,0
0,201.21098690911603
1,378.5157891893313
2,149.88642891407852
3,257.00463702002793
4,775.3520243410578
5,102.24938664996517
6,186.60572393304952
7,433.5117477565408
8,351.2533911686595
9,165.22582212111925
10,178.67106740206782
11,190.01848926488805
12,216.98568082235724
13,149.88642891407852
14,140.07899067279465
15,149.88642891407852
16,245.89644831410396
17,505.0427528714633
18,2042.6023628864275
19,118.81846900549935
20,206.2974572671905
21,150.15985198057172
22,154.61222622567172
23,112.11468106982116
24,203.87707835419067
25,130.56063930451597
26,132.6863672371505
27,114.2446126843031
28,125.73276901678636
29,387.88496083100375
30,206.44020968294902
31,365.07749564976126
32,208.35472394648392
33,181.42504558149994
34,181.42504558149994
35,498.3192189736501
36,690.7420046855403
37,181.59759955998354
38,149.88642891407852
39,190.01848926488805
40,214.28934583758254
41,252.78745439758964
42,278.40527721204927
43,113.10096093331128
44,1224.7272190257743
45,163.33121559007998
46,180.19142173623402
47,357.6538739382785
48,206.66394759569167
49,646.85675480619
50,170.15631708620285
51,297.4964224370485
52,220.79863667945028
53,195.93797291680232
54,51.13721031740451
55,459.68560717489584
56,179.63009342123527
57,228.16915300674597
58,291.9323000157202
59,165.19292553968648
60,357.6538739382785
61,498.3192189736501
62,134.53940336235416
63,1162.8078264043056
64,487.2949313085595
65,136.47816596079747
66,333.41600996953673
67,190.01848926488805
68,150.28952370932518
69,149.88642891407852
70,148.32048001596146
71,240.3600365132755
72,142.57029153512818
73,166.45567810363747
74,212.81204302984725
75,190.51409638450394
76,390.5994881620251
77,899.340751159508
78,168.68884965676034
79,1365.4995326809774
80,98.86303199351865
81,115.92072177759871
82,256.36796656371183
83,480.57172233026324
84,186.5467818698195
85,642.3743323190529
86,159.11160628766024
87,520.409337898755
88,170.33912131720368
89,185.75393714288325
90,186.60572393304952
91,298.8765477200435
92,129.67102038862419
93,249.32898538785366
94,1610.5267500175648
95,277.9082904193745
96,132.26494995189935
97,155.70949877141152
98,204.0695729998761
99,227.72844689463813
100,107.47003352937364
101,358.94644075864204
102,1498.4908723400456
103,241.485332540292
104,186.5467818698195
105,387.88496083100375
106,186.675397828425
107,146.8711353076054
108,350.84331463687937
109,179.19801914293606
110,195.95724591933586
111,76.28640834743007
112,408.10551347727295
113,106.33597665043536
114,212.24429252455235
115,243.72193951019716
116,139.99648990163968
117,164.70889827130085
118,186.6091700726068
119,164.70889827130085
120,515.050015914833
